cell,long,lat,biomass,sr,evesimpson,jac,depth,chl,sst.sea,sst,pielou.sed,effort,feeding.mode_benthivorous,tl
15512,-4.75,51.25,1089340.109,32.38,0.112169127,0.687586172,36,1.38102005,0.216758209,12.58560469,0.256970672,551678.2313,0.427091913,3.723623575
15525,1.75,51.25,173513.2578,33.15,0.094683557,0.772770342,33,2.443408128,0.300368268,12.43006799,0.24424309,3630156.211,0.446589263,3.677407932
15526,2.25,51.25,275954.6242,27.43,0.066675534,0.797853504,16,3.025275144,0.323166551,12.21621071,0.170306445,4655658.325,0.481583633,3.678036715
15699,-11.25,50.75,1303024.144,31.35,0.088124827,0.638623984,887,0.624421286,0.159925182,13.52309235,0.211621638,276171.2057,0.365122495,3.85179148
15700,-10.75,50.75,160331.1263,31.27,0.086489581,0.594651687,131,0.714844234,0.169055838,13.44054403,0.166754451,150688.2926,0.375809896,3.841677099
15701,-10.25,50.75,188054.4721,26.42,0.121816429,0.572474055,101,0.741657345,0.169055838,13.44054403,0.201756111,102580.1247,0.378848988,3.866832776
15702,-9.75,50.75,321749.128,29.06,0.114737782,0.592831511,122,0.741922099,0.180720729,13.36822559,0.234381135,133527.9843,0.404323837,3.821452804
15703,-9.25,50.75,319199.2043,31.75,0.125129851,0.600469374,124,0.763316066,0.180720729,13.36822559,0.237477474,105016.3563,0.384420304,3.84004389
15704,-8.75,50.75,210365.022,29.74,0.146733597,0.618962056,113,0.78376838,0.189748391,13.31610037,0.255338023,NA,0.365123564,3.839117461
15705,-8.25,50.75,142628.6054,26.19,0.170269645,0.646860973,92,0.786594163,0.189748391,13.31610037,0.251572687,502265.1503,0.329656813,3.856537136
15706,-7.75,50.75,275861.7855,30.74,0.101935639,0.632781215,107,0.791263438,0.194299418,13.23976539,0.235878485,639450.6333,0.347146568,3.852433466
15707,-7.25,50.75,144799.4979,25.15,0.17363559,0.659564813,110,0.734875978,0.194299418,13.23976539,0.21663562,503544.2517,0.283954842,3.917855413
15709,-6.25,50.75,428771.318,27.69,0.144377493,0.640698613,93,0.795598066,0.196437447,13.14174993,0.17004803,1554853.312,0.351464848,3.856147318
15720,-0.75,50.75,75399.84085,22.53,0.108195064,0.764016138,10,2.046217577,0.238712798,13.12384974,0.274511758,404843.9528,0.220945374,3.777111447
15721,-0.25,50.75,80312.37507,26.87,0.09566763,0.742681764,15,1.543094218,0.238712798,13.12384974,0.219402092,3117640.169,0.377988344,3.699022389
15723,0.75,50.75,223245.2222,32.31,0.115731395,0.73984099,36,1.574661062,0.251012452,13.03251398,0.185067643,5784230.723,0.429290837,3.708020885
15724,1.25,50.75,102202.8154,28.67,0.137209777,0.749176083,22,1.863899085,0.286359404,12.64829413,0.221296195,4828823.012,0.415959726,3.689380289
15899,-11.25,50.25,139198.0955,28.46,0.165808185,0.73018799,803,0.610393801,0.159925182,13.52309235,0.206527406,119262.2595,0.472650994,3.769405326
15900,-10.75,50.25,171534.0866,28.16,0.108266095,0.577835574,172,0.675910352,0.169055838,13.44054403,0.162545556,136887.5297,0.387414411,3.862933849
15901,-10.25,50.25,194189.3836,24.91,0.159755704,0.560194305,125,0.712828315,0.169055838,13.44054403,0.195485425,30924.6482,0.416171527,3.90072708
15902,-9.75,50.25,123757.6739,27.43,0.11663948,0.594957527,135,0.664064361,0.180720729,13.36822559,0.237706104,34193.14845,0.398306226,3.87435827
15903,-9.25,50.25,122839.2429,29.99,0.140009749,0.60629637,50,0.7047316,0.180720729,13.36822559,0.233341652,107044.4148,0.378885119,3.84777852
15904,-8.75,50.25,132416.86,26.15,0.155657691,0.621171221,128,0.688884954,0.189748391,13.31610037,0.204840063,277748.5494,0.313632033,3.885949637
15905,-8.25,50.25,134774.5723,28.18,0.183614493,0.620186825,119,0.717848035,0.189748391,13.31610037,0.252827992,1026625.335,0.303895457,3.91542012
15906,-7.75,50.25,163008.8265,24.18,0.170004741,0.629658501,104,0.78719483,0.194299418,13.23976539,0.274088737,679357.7747,0.352953681,3.901722603
15907,-7.25,50.25,145610.9433,27.51,0.149593702,0.655847936,106,0.752033469,0.194299418,13.23976539,0.247348167,859409.0233,0.274506781,3.907272117
15919,-1.25,50.25,75440.46884,20.16,0.108576974,0.786215256,62,1.229952069,0.220663659,13.21255775,0.200579492,1042560.333,0.150579201,3.877190825
15920,-0.75,50.25,103346.8538,21.82,0.109399667,0.77888926,48,1.025649592,0.238712798,13.12384974,0.216342514,NA,0.246190046,3.837256547
15921,-0.25,50.25,137634.9333,14.93,0.148485293,0.801340471,49,0.931645663,0.238712798,13.12384974,0.250372848,7809795.306,0.260307523,3.774930945
15922,0.25,50.25,161156.2144,24.35,0.087458279,0.773394852,37,1.101274799,0.251012452,13.03251398,0.226857505,8757624.236,0.367044423,3.71570273
15923,0.75,50.25,63222.41615,27.33,0.105777648,0.784206427,33,1.428638012,0.251012452,13.03251398,0.243283469,5533017.174,0.42084964,3.692114617
15924,1.25,50.25,267138.4849,27.42,0.094970782,0.774807457,13,2.812801679,0.286359404,12.64829413,0.216618995,2344803.24,0.417511527,3.704160455
16099,-11.25,49.75,378835.8913,29.65,0.084766608,0.713912146,365,0.606384068,0.159233272,13.92894484,0.259536832,228585.9048,0.359140851,3.857892335
16100,-10.75,49.75,273681.6753,27.39,0.060446839,0.576550695,158,0.684798913,0.166032327,13.87239352,0.145217239,137900.7573,0.392174542,3.868420873
16101,-10.25,49.75,81616.99467,17.76,0.242857913,0.618088841,150,0.656229996,0.166032327,13.87239352,0.198086385,40565.49854,0.413850545,3.876538118
16102,-9.75,49.75,316437.5686,26.42,0.100595027,0.606225211,151,0.61466962,0.175009184,13.81100677,0.210775844,70245.74379,0.392758004,3.869414354
16103,-9.25,49.75,79702.30059,28.85,0.104821092,0.617378448,154,0.607177754,0.175009184,13.81100677,0.181701796,114371.0905,0.467474688,3.838145952
16104,-8.75,49.75,114655.8626,26.21,0.151131728,0.607022229,133,0.614082957,0.182261773,13.75319666,0.158767258,190664.9179,0.442672377,3.849532193
16105,-8.25,49.75,125815.3515,31.38,0.115208704,0.617477459,146,0.655039689,0.182261773,13.75319666,0.187792706,803225.7432,0.378513066,3.878773314
16106,-7.75,49.75,142252.6643,24.32,0.143369643,0.657089358,101,0.684003587,0.186191789,13.68555753,0.181731508,1056278.471,0.27075643,3.961876454
16107,-7.25,49.75,212830.1687,29.3,0.13106976,0.648887644,111,0.68803483,0.186191789,13.68555753,0.186529987,1120920.275,0.380978603,3.868903954
16118,-1.75,49.75,121127.6933,16.34,0.245685891,0.8026015,50,0.808389802,0.220663659,13.21255775,0.267185295,470683.6041,0.206533813,3.819017606
16119,-1.25,49.75,105128.1679,23.96,0.138765123,0.809515404,40,1.188934981,0.220663659,13.21255775,0.263835024,1140281.21,0.332148432,3.70855211
16120,-0.75,49.75,86128.49546,19.59,0.174872502,0.811448901,40,1.153351027,0.238712798,13.12384974,0.265208486,3082074.792,0.326302228,3.753162705
16121,-0.25,49.75,199856.1581,20.83,0.112091511,0.793087021,33,1.655493706,0.238712798,13.12384974,0.242671784,4622263.142,0.34430823,3.702247315
16122,0.25,49.75,126690.5332,29.35,0.091732104,0.795126959,6,1.446641702,0.251012452,13.03251398,0.258824189,905101.9968,0.416335332,3.692250024
16299,-11.25,49.25,285111.2789,22.28,0.086105976,0.597341046,233,0.60537328,0.159233272,13.92894484,0.166355691,180333.8128,0.414915497,3.80643277
16300,-10.75,49.25,103366.0645,21.9,0.10728507,0.580157509,158,0.678618406,0.166032327,13.87239352,0.136473502,80266.12328,0.440971262,3.850141036
16301,-10.25,49.25,139635.9101,24.89,0.141068597,0.58068199,165,0.663739209,0.166032327,13.87239352,0.168336263,56028.64545,0.476703575,3.86090452
16302,-9.75,49.25,114139.8542,25.45,0.079723133,0.569852258,158,0.615396924,0.175009184,13.81100677,0.16280699,55702.63846,0.450208058,3.891945349
16303,-9.25,49.25,102090.1027,20.92,0.18660173,0.573399553,145,0.591033425,0.175009184,13.81100677,0.117917061,64714.65142,0.384542706,3.879078556
16304,-8.75,49.25,185048.3329,23.92,0.120778623,0.564197455,176,0.580406798,0.182261773,13.75319666,0.112079875,90814.60261,0.425091231,3.886879004
